Cycle no.,95A 1st,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%,Unnamed: 13,95A 2nd,Wk1 - 50%.1,Wk2 - 50%.1,Wk3 - 50%.1,Wk4 - 50%,Wk1 - 35%.1,Wk2 - 35%.1,Wk3 - 35%.1,Wk4 - 35%.1,Wk1 - 20%.1,Wk2 - 20%.1,Wk3 - 20%.1,Wk4 - 20%.1,Unnamed: 27,90A 1st,Wk1 - 50%.2,Wk2 - 50%.2,Wk3 - 50%.2,Wk4 - 50%.1,Wk1 - 35%.2,Wk2 - 35%.2,Wk3 - 35%.2,Wk4 - 35%.2,Wk1 - 20%.2,Wk2 - 20%.2,Wk3 - 20%.2,Wk4 - 20%.2,Unnamed: 41,90A 2nd,Wk1 - 50%.3,Wk2 - 50%.3,Wk3 - 50%.3,Wk4 - 50%.2,Wk1 - 35%.3,Wk2 - 35%.3,Wk3 - 35%.3,Wk4 - 35%.3,Wk1 - 20%.3,Wk2 - 20%.3,Wk3 - 20%.3,Wk4 - 20%.3,Unnamed: 55,87A 1st,Wk1 - 50%.4,Wk2 - 50%.4,Wk3 - 50%.4,Wk4 - 50%.3,Wk1 - 35%.4,Wk2 - 35%.4,Wk3 - 35%.4,Wk4 - 35%.4,Wk1 - 20%.4,Wk2 - 20%.4,Wk3 - 20%.4,Wk4 - 20%.4,Unnamed: 69,87A 2nd,Wk1 - 50%.5,Wk2 - 50%.5,Wk3 - 50%.5,Wk4 - 50%.4,Wk1 - 35%.5,Wk2 - 35%.5,Wk3 - 35%.5,Wk4 - 35%.5,Wk1 - 20%.5,Wk2 - 20%.5,Wk3 - 20%.5,Wk4 - 20%.5
90A - 50%,4.49,27.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A - 35%,2.93,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A - 20%,1.86,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87A - 50%,3.57,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87A - 35%,2.52,24.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87A - 20%,1.51,23.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Mean temp change,Peak Temp,Temp change relative standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95A - 50%,6.75,33.84,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95A - 35%,9.02,30.49,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95A - 20%,5.03,28.40,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A - 50%,5.30,28.49,15.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A - 35%,3.30,25.93,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A - 20%,1.61,24.00,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87A - 50%,2.07,25.83,14.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87A - 35%,1.62,24.66,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87A - 20%,1.16,23.81,42.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
